date,temp high,temp low,DP avg,humidity avg,SLP avg,Rainfall
2013-01-05,26,14,14,70,1011,0.0
2013-01-06,26,14,13,64,1012,0.0
2013-01-07,26,15,13,65,1012,0.0
2013-01-08,23,13,12,67,1014,0.0
2013-01-09,18,9,8,65,1014,0.0
2013-01-10,19,9,10,74,1013,0.0
2013-01-11,21,9,9,71,1014,0.0
2013-01-12,19,9,12,80,1014,0.0
2013-01-13,24,11,11,70,1012,0.0
2013-01-14,25,11,13,75,1012,0.0
2013-01-15,25,13,14,73,1014,0.0
2013-01-16,26,13,13,70,1015,0.0
2013-01-17,28,13,13,61,1015,0.0
2013-01-18,29,14,14,67,1015,0.0
2013-01-19,29,14,16,64,1014,0.0
2013-01-20,28,16,16,63,1014,0.0
2013-01-21,26,17,16,67,1016,0.0
2013-01-22,25,16,13,59,1016,0.0
2013-01-23,26,15,13,62,1015,0.0
2013-01-24,26,13,13,64,1014,0.0
2013-01-25,26,15,12,59,1015,0.0
2013-01-26,24,12,11,61,1015,0.0
2013-01-27,22,12,11,63,1015,0.0
2013-01-28,25,13,12,63,1014,0.0
2013-01-29,26,13,14,75,1013,0.0
2013-01-30,26,13,14,72,1014,0.0
2013-01-31,27,14,14,68,1015,0.0
2013-02-01,26,15,16,75,1015,0.0
2013-02-02,28,15,16,72,1014,0.0
2013-02-03,27,15,16,73,1013,0.0
2013-02-04,28,16,16,70,1015,0.0
2013-02-05,28,15,16,66,1015,0.0
2013-02-06,30,16,15,61,1013,0.0
2013-02-07,31,17,15,56,1011,0.0
2013-02-08,29,18,17,64,1011,0.0
2013-02-09,28,20,15,56,1012,0.0
2013-02-10,27,16,12,49,1011,0.0
2013-02-11,28,19,13,52,1011,0.0
2013-02-12,29,15,15,59,1011,0.0
2013-02-13,24,19,17,73,1011,0.0
2013-02-14,30,18,16,57,1011,0.0
2013-02-15,32,17,9,41,1011,0.0
2013-02-16,32,17,11,42,1009,0.0
2013-02-17,28,19,17,66,1009,0.25
2013-02-18,25,18,17,76,1011,0.0
2013-02-19,26,16,15,66,1012,0.0
2013-02-20,26,16,15,61,1011,0.0
2013-02-21,29,18,14,56,1012,0.0
2013-02-22,30,18,16,60,1012,0.0
2013-02-23,31,17,17,63,1012,0.0
2013-02-24,31,18,17,62,1012,0.0
2013-02-25,32,18,17,56,1012,0.0
2013-02-26,32,20,15,48,1012,0.0
2013-02-27,32,21,16,55,1011,0.0
2013-02-28,32,19,16,53,1009,0.0
2013-03-01,32,20,13,47,1010,0.0
2013-03-02,30,18,14,50,1012,0.0
2013-03-03,32,19,16,57,1012,0.0
2013-03-04,31,17,17,57,1012,0.0
2013-03-05,32,17,17,66,1013,0.0
2013-03-06,32,18,17,59,1013,0.0
2013-03-07,31,18,19,69,1013,0.0
2013-03-08,31,18,18,65,1012,0.0
2013-03-09,31,18,19,70,1010,0.0
2013-03-10,32,19,21,79,1009,0.0
2013-03-11,29,20,22,81,1010,0.0
2013-03-12,28,23,23,84,1010,0.0
2013-03-13,30,22,23,84,1011,0.0
2013-03-14,30,23,23,81,1012,0.0
2013-03-15,32,23,23,80,1012,0.0
2013-03-16,33,22,22,73,1013,0.0
2013-03-17,29,22,22,79,1011,0.0
2013-03-18,31,21,18,63,1009,0.0
2013-03-19,31,20,21,75,1010,0.0
2013-03-20,30,20,22,77,1010,0.0
2013-03-21,30,22,23,80,1008,0.0
2013-03-22,29,23,24,83,1007,0.0
2013-03-23,30,22,23,82,1009,3.05
2013-03-24,31,23,24,78,1009,0.0
2013-03-25,30,23,24,83,1007,0.0
2013-03-26,30,24,24,83,1007,0.0
2013-03-27,32,25,25,83,1007,0.0
2013-03-28,30,24,24,82,1008,0.0
2013-03-29,31,25,24,79,1008,0.0
2013-03-30,32,24,22,74,1007,0.0
2013-03-31,32,23,24,80,1008,0.0
2013-04-01,31,24,25,80,1008,0.0
2013-04-02,32,25,24,77,1009,0.0
2013-04-03,33,25,25,79,1007,0.0
2013-04-04,32,25,26,82,1004,0.0
2013-04-05,33,27,24,71,1004,0.0
2013-04-06,32,26,25,79,1005,0.0
2013-04-07,32,24,24,76,1005,0.0
2013-04-08,31,24,24,79,1006,0.0
2013-04-09,32,24,24,79,1007,0.0
2013-04-10,31,25,24,79,1007,0.0
2013-04-11,31,26,24,79,1007,0.0
2013-04-12,31,26,24,77,1009,0.0
2013-04-13,31,25,25,79,1009,0.0
2013-04-14,32,25,25,80,1008,0.0
2013-04-15,32,27,24,71,1006,0.0
2013-04-16,32,20,22,80,1005,24.89
2013-04-17,31,21,21,73,1005,11.94
2013-04-18,28,23,22,74,1006,0.0
2013-04-19,33,23,22,67,1006,0.0
2013-04-20,33,24,23,70,1007,0.0
2013-04-21,32,24,22,68,1008,0.0
2013-04-22,31,24,21,65,1009,0.0
2013-04-23,32,22,20,61,1010,0.0
2013-04-24,33,24,22,63,1009,0.0
2013-04-25,33,25,23,67,1009,0.0
2013-04-26,33,25,26,78,1008,0.0
2013-04-27,31,27,26,80,1007,0.0
2013-04-28,31,22,24,79,1006,7.11
2013-04-29,31,24,26,82,1007,0.0
2013-04-30,32,27,26,78,1007,0.0
2013-05-01,32,27,26,78,1004,0.0
2013-05-02,32,28,26,79,1003,0.0
2013-05-03,32,28,25,76,1003,4.06
2013-05-04,28,22,23,91,1006,151.89
2013-05-05,28,22,21,88,1008,0.0
2013-05-06,28,22,22,92,1007,97.03
2013-05-07,29,22,23,84,1006,20.07
2013-05-08,31,24,24,84,1005,27.94
2013-05-09,31,25,24,81,1005,0.0
2013-05-10,31,25,26,84,1005,40.89
2013-05-11,32,25,26,82,1004,1.02
2013-05-12,32,27,27,86,1006,0.0
2013-05-13,33,26,25,75,1005,0.0
2013-05-14,29,25,24,85,1004,35.05
2013-05-15,30,25,25,90,1002,12.95
2013-05-16,29,25,24,90,999,0.0
2013-05-17,32,24,26,83,1006,0.0
2013-05-18,32,28,27,82,1006,0.0
2013-05-19,32,27,26,80,1005,0.0
2013-05-20,32,27,26,81,1004,12.95
2013-05-21,26,24,24,90,1003,3.05
2013-05-22,27,23,24,93,1003,1.02
2013-05-23,29,24,25,88,1002,0.51
2013-05-24,28,23,24,90,1002,18.03
2013-05-25,25,25,24,92,1002,3.05
2013-05-26,31,25,25,83,1002,0.25
2013-05-27,32,26,26,82,1002,0.51
2013-05-28,32,26,26,81,1001,2.03
2013-05-29,30,26,25,85,1001,5.08
2013-05-30,31,26,24,81,1002,5.08
2013-05-31,29,24,24,88,1005,7.11
2013-06-01,31,26,26,80,1005,0.0
2013-06-02,32,27,26,78,1003,0.0
2013-06-03,32,26,26,87,1002,3.05
2013-06-04,32,26,26,77,1003,0.0
2013-06-05,32,27,26,78,1003,0.0
2013-06-06,32,27,25,78,1003,0.0
2013-06-07,30,27,26,84,1003,0.0
2013-06-08,32,26,25,76,1001,2.03
2013-06-09,29,25,25,88,1000,0.51
2013-06-10,32,27,26,81,999,9.91
2013-06-11,32,26,26,85,1000,0.0
2013-06-12,33,26,26,84,1000,19.05
2013-06-13,33,26,25,78,1000,1.02
2013-06-14,32,27,25,80,1000,0.0
2013-06-15,33,27,26,78,1001,0.0
2013-06-16,32,28,26,79,1002,4.06
